
[[4400, 690], [3673, 690], [621, 1029], [647, 846], [655, 641], [647, 433], [621, 251], [3689, 690], [4387, 690], [29477, 690], [-31709, 690], [529, 981], [559, 823], [570, 640], [560, 458], [530, 300], [3582, 690], [27034, 690], [262, 929], [-911, 690], [393, 873], [425, 768], [434, 641], [425, 513], [394, 406], [-965, 690], [261, 352], [235, 773], [274, 785], [305, 761], [326, 707], [334, 640], [327, 573], [305, 519], [274, 494], [235, 507], [254, 640]]
         1080919 function calls (1079765 primitive calls) in 3.048 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14578    0.608    0.000    2.467    0.000 dome_projection.py:374(dome_display_direction)
    14578    0.543    0.000    1.624    0.000 dome_projection.py:1002(flat_display_direction)
    29162    0.494    0.000    0.679    0.000 numeric.py:1406(cross)
    79594    0.274    0.000    0.597    0.000 linalg.py:1924(norm)
   223553    0.205    0.000    0.205    0.000 {numpy.core.multiarray.array}
      394    0.130    0.000    2.705    0.007 fmin_powell_script.py:8(direction_differences)
    90232    0.110    0.000    0.110    0.000 {numpy.core._dotblas.dot}
   137921    0.087    0.000    0.184    0.000 numeric.py:394(asarray)
    58324    0.055    0.000    0.055    0.000 numeric.py:1347(rollaxis)
    79594    0.047    0.000    0.047    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    79597    0.037    0.000    0.069    0.000 linalg.py:111(isComplexType)
79713/79674    0.031    0.000    0.032    0.000 {issubclass}
    43735    0.031    0.000    0.031    0.000 {numpy.core.multiarray.zeros}
        1    0.024    0.024    0.031    0.031 numeric.py:1(<module>)
        1    0.023    0.023    0.048    0.048 __init__.py:166(<module>)
    29183    0.021    0.000    0.021    0.000 {numpy.core.multiarray.empty}
        1    0.019    0.019    0.019    0.019 linsolve.py:1(<module>)
        1    0.019    0.019    0.019    0.019 blas.py:143(<module>)
        1    0.018    0.018    0.018    0.018 arpack.py:7(<module>)
    29162    0.016    0.000    0.016    0.000 {numpy.core.multiarray.promote_types}
        5    0.012    0.002    0.196    0.039 __init__.py:1(<module>)
        2    0.009    0.005    0.033    0.016 __init__.py:88(<module>)
        1    0.008    0.008    2.733    2.733 fmin_powell_script.py:28(find_projector_pixels)
    11465    0.006    0.000    0.006    0.000 {min}
        2    0.006    0.003    0.006    0.003 {cPickle.dump}
        2    0.006    0.003    0.016    0.008 machar.py:113(_do_init)
    10733    0.005    0.000    0.005    0.000 {max}
      394    0.005    0.000    2.710    0.007 optimize.py:283(function_wrapper)
    20139    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        9    0.005    0.001    0.006    0.001 collections.py:293(namedtuple)
        1    0.004    0.004    0.014    0.014 tempfile.py:18(<module>)
   173/30    0.004    0.000    0.011    0.000 sre_parse.py:395(_parse)
        1    0.004    0.004    0.004    0.004 socket.py:45(<module>)
        1    0.004    0.004    0.038    0.038 Image.py:27(<module>)
        1    0.004    0.004    0.008    0.008 random.py:40(<module>)
        1    0.004    0.004    0.006    0.006 subprocess.py:387(<module>)
        1    0.004    0.004    0.019    0.019 utils.py:4(<module>)
        1    0.004    0.004    3.049    3.049 fmin_powell_script.py:1(<module>)
        1    0.003    0.003    0.006    0.006 collections.py:1(<module>)
   373/30    0.003    0.000    0.008    0.000 sre_compile.py:64(_compile)
        1    0.003    0.003    0.111    0.111 __init__.py:106(<module>)
        1    0.003    0.003    0.003    0.003 hashlib.py:56(<module>)
        1    0.003    0.003    0.003    0.003 __init__.py:24(<module>)
        1    0.003    0.003    0.013    0.013 misc.py:12(<module>)
        1    0.003    0.003    0.003    0.003 linesearch.py:13(<module>)
        1    0.003    0.003    0.006    0.006 __init__.py:60(<module>)
     2024    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.003    0.003    0.003    0.003 case.py:1(<module>)
        1    0.003    0.003    0.003    0.003 heapq.py:31(<module>)
     2184    0.002    0.000    0.003    0.000 sre_parse.py:193(__next)
        1    0.002    0.002    0.003    0.003 __init__.py:4(<module>)
      951    0.002    0.000    0.002    0.000 {range}
        1    0.002    0.002    0.002    0.002 runner.py:1(<module>)
        1    0.002    0.002    0.024    0.024 inspect.py:25(<module>)
       74    0.002    0.000    2.709    0.037 optimize.py:1740(optimize)
        1    0.002    0.002    0.041    0.041 pilutil.py:7(<module>)
        1    0.002    0.002    0.002    0.002 npyio.py:1(<module>)
        1    0.002    0.002    0.002    0.002 basic.py:5(<module>)
        1    0.002    0.002    0.153    0.153 _minimize.py:8(<module>)
      393    0.002    0.000    2.707    0.007 optimize.py:2163(myfunc)
        1    0.002    0.002    0.007    0.007 __init__.py:597(<module>)
        1    0.002    0.002    0.007    0.007 newround.py:3(<module>)
        1    0.002    0.002    0.200    0.200 __init__.py:217(<module>)
        1    0.002    0.002    0.007    0.007 __init__.py:204(<module>)
        1    0.002    0.002    0.031    0.031 __init__.py:7(<module>)
     2024    0.002    0.000    0.008    0.000 fromnumeric.py:1772(any)
        1    0.002    0.002    0.041    0.041 optimize.py:17(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:121(<module>)
      394    0.002    0.000    0.002    0.000 {sum}
  533/197    0.002    0.000    0.002    0.000 sre_parse.py:151(getwidth)
        1    0.002    0.002    0.003    0.003 numerictypes.py:82(<module>)
      285    0.002    0.000    0.002    0.000 {__import__}
        1    0.002    0.002    0.002    0.002 pickle.py:25(<module>)
        1    0.001    0.001    0.093    0.093 __init__.py:105(<module>)
        1    0.001    0.001    0.002    0.002 io.py:34(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:38(<module>)
        1    0.001    0.001    0.001    0.001 lil.py:2(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:15(<module>)
        2    0.001    0.001    0.012    0.006 __init__.py:45(<module>)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
        1    0.001    0.001    0.001    0.001 lapack.py:342(<module>)
     1591    0.001    0.000    0.002    0.000 sre_parse.py:141(__getitem__)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
        1    0.001    0.001    0.004    0.004 ctypeslib.py:51(<module>)
9074/8870    0.001    0.000    0.001    0.000 {len}
      158    0.001    0.000    0.002    0.000 sre_compile.py:256(_optimize_charset)
        1    0.001    0.001    0.016    0.016 tokenize.py:23(<module>)
        2    0.001    0.001    0.003    0.002 __init__.py:48(<module>)
        1    0.001    0.001    0.001    0.001 _ode.py:39(<module>)
        1    0.001    0.001    0.001    0.001 dis.py:1(<module>)
        2    0.001    0.001    0.021    0.010 __init__.py:3(<module>)
        1    0.001    0.001    0.001    0.001 loader.py:1(<module>)
     2024    0.001    0.000    0.002    0.000 numeric.py:464(asanyarray)
     1880    0.001    0.000    0.003    0.000 sre_parse.py:212(get)
        1    0.001    0.001    0.001    0.001 basic.py:7(<module>)
        1    0.001    0.001    0.003    0.003 index_tricks.py:1(<module>)
       40    0.001    0.000    0.001    0.000 _inspect.py:120(getargspec)
     2024    0.001    0.000    0.004    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.003    0.003 iterative.py:1(<module>)
        1    0.001    0.001    0.001    0.001 csr.py:1(<module>)
     2600    0.001    0.000    0.001    0.000 {isinstance}
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
     1704    0.001    0.000    0.001    0.000 {getattr}
      282    0.001    0.000    0.002    0.000 function_base.py:3251(add_newdoc)
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
        1    0.001    0.001    0.003    0.003 _root.py:7(<module>)
       74    0.001    0.000    2.712    0.037 optimize.py:2157(_linesearch_powell)
       74    0.001    0.000    2.710    0.037 optimize.py:1912(_minimize_scalar_brent)
     2024    0.001    0.000    0.003    0.000 _methods.py:37(_any)
   110/30    0.001    0.000    0.012    0.000 sre_parse.py:317(_parse_sub)
      158    0.001    0.000    0.023    0.000 re.py:230(_compile)
        1    0.001    0.001    0.101    0.101 lbfgsb.py:9(<module>)
        1    0.001    0.001    0.001    0.001 {function seed at 0x106b72848}
        1    0.001    0.001    0.002    0.002 __init__.py:56(<module>)
        1    0.001    0.001    0.003    0.003 _ellip_harm.py:1(<module>)
        1    0.001    0.001    0.049    0.049 __init__.py:40(<module>)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        7    0.001    0.000    0.001    0.000 {compile}
      158    0.001    0.000    0.003    0.000 sre_compile.py:228(_compile_charset)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
       60    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x106303798}
        2    0.000    0.000    0.051    0.026 __init__.py:8(<module>)
       74    0.000    0.000    1.519    0.021 optimize.py:2056(bracket)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
        2    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.005    0.005 decimal.py:116(<module>)
       76    0.000    0.000    0.001    0.000 fromnumeric.py:1083(squeeze)
     1054    0.000    0.000    0.001    0.000 sre_parse.py:206(match)
       19    0.000    0.000    0.001    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.001    0.001 polynomial.py:55(<module>)
       74    0.000    0.000    2.711    0.037 optimize.py:1855(brent)
        1    0.000    0.000    0.007    0.007 misc.py:37(<module>)
        1    0.000    0.000    0.024    0.024 iterators.py:33(<module>)
        1    0.000    0.000    2.718    2.718 optimize.py:2287(_minimize_powell)
       15    0.000    0.000    0.001    0.000 six.py:209(exec_)
        1    0.000    0.000    0.000    0.000 quadpack.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.049    0.049 _trustregion_dogleg.py:1(<module>)
      592    0.000    0.000    0.000    0.000 {abs}
        1    0.000    0.000    0.019    0.019 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 cobyla.py:11(<module>)
      167    0.000    0.000    0.001    0.000 sre_compile.py:428(_simple)
        1    0.000    0.000    0.000    0.000 flinalg.py:5(<module>)
        1    0.000    0.000    0.000    0.000 odepack.py:2(<module>)
        1    0.000    0.000    0.000    0.000 newint.py:7(<module>)
      773    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
        1    0.000    0.000    0.000    0.000 compressed.py:1(<module>)
       32    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.002    0.002 nonlin.py:109(<module>)
        1    0.000    0.000    0.000    0.000 {cPickle.load}
        1    0.000    0.000    0.074    0.074 type_check.py:3(<module>)
        1    0.000    0.000    0.020    0.020 misc.py:1(<module>)
      548    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       12    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
        1    0.000    0.000    0.019    0.019 __init__.py:52(<module>)
        1    0.000    0.000    0.000    0.000 slsqp.py:14(<module>)
      545    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
        1    0.000    0.000    0.001    0.001 base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.087    0.087 add_newdocs.py:10(<module>)
       78    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 tnc.py:33(<module>)
        1    0.000    0.000    0.000    0.000 minpack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 nnls.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.001    0.001 newbytes.py:6(<module>)
        1    0.000    0.000    0.020    0.020 newrange.py:19(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      349    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
     1020    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       77    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
       30    0.000    0.000    0.002    0.000 sre_compile.py:433(_compile_info)
      373    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.049    0.049 matfuncs.py:3(<module>)
        2    0.000    0.000    0.001    0.000 _version.py:7(<module>)
    27/18    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       30    0.000    0.000    0.022    0.001 sre_compile.py:567(compile)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:1(<module>)
       42    0.000    0.000    0.000    0.000 nosetester.py:181(__init__)
       30    0.000    0.000    0.012    0.000 sre_parse.py:706(parse)
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1013(__init__)
        7    0.000    0.000    0.000    0.000 decorator.py:73(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:106(with_metaclass)
       10    0.000    0.000    0.000    0.000 __init__.py:134(__new__)
        1    0.000    0.000    0.000    0.000 interface.py:41(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:351(extend_all)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
       74    0.000    0.000    1.519    0.021 optimize.py:1709(get_bracket_info)
       74    0.000    0.000    0.000    0.000 optimize.py:1692(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      324    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
      126    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        1    0.000    0.000    0.001    0.001 dome_projection.py:41(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        7    0.000    0.000    0.001    0.000 nonlin.py:1492(_nonlin_wrapper)
        1    0.000    0.000    0.000    0.000 newlist.py:13(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:482(Image)
       42    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
      150    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.generic' objects}
        7    0.000    0.000    0.001    0.000 decorator.py:134(make)
      329    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       11    0.000    0.000    0.000    0.000 {eval}
       36    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
      102    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
      512    0.000    0.000    0.000    0.000 {chr}
       75    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 nonlin.py:667(GenericBroyden)
        1    0.000    0.000    0.000    0.000 numerictypes.py:305(_add_aliases)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
      251    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
      126    0.000    0.000    0.001    0.000 re.py:138(match)
       14    0.000    0.000    0.000    0.000 inspect.py:744(getargs)
        2    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       30    0.000    0.000    0.000    0.000 {_sre.compile}
       63    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      279    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
       26    0.000    0.000    0.000    0.000 numerictypes.py:233(bitname)
        6    0.000    0.000    0.001    0.000 _version.py:55(__init__)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
       30    0.000    0.000    0.010    0.000 sre_compile.py:552(_code)
       23    0.000    0.000    0.000    0.000 core.py:6068(getdoc)
      497    0.000    0.000    0.000    0.000 {ord}
       62    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
        1    0.000    0.000    0.000    0.000 core.py:761(_DomainTan)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
       27    0.000    0.000    0.000    0.000 core.py:834(__init__)
        6    0.000    0.000    0.000    0.000 inspect.py:845(formatargspec)
        1    0.000    0.000    0.000    0.000 orthogonal.py:90(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        9    0.000    0.000    0.016    0.002 getlimits.py:93(__new__)
        1    0.000    0.000    0.000    0.000 newstr.py:41(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
       42    0.000    0.000    0.000    0.000 {all}
       26    0.000    0.000    0.022    0.001 re.py:192(compile)
        2    0.000    0.000    0.016    0.008 getlimits.py:126(_init)
        1    0.000    0.000    0.000    0.000 linalg.py:296(solve)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        7    0.000    0.000    0.000    0.000 utils.py:69(__call__)
        1    0.000    0.000    0.000    0.000 newrange.py:30(newrange)
       31    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
       31    0.000    0.000    0.000    0.000 __init__.py:139(decorator)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
      173    0.000    0.000    0.000    0.000 {_sre.getlower}
      136    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 core.py:2586(MaskedArray)
       74    0.000    0.000    0.000    0.000 optimize.py:1848(get_result)
        1    0.000    0.000    0.000    0.000 newobject.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 sputils.py:2(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
       14    0.000    0.000    0.000    0.000 inspect.py:804(getargspec)
        1    0.000    0.000    0.000    0.000 quadrature.py:1(<module>)
       60    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
       18    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 decorator.py:29(<module>)
      167    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       31    0.000    0.000    0.000    0.000 __init__.py:170(no)
       28    0.000    0.000    0.000    0.000 {posix.putenv}
       61    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
        7    0.000    0.000    0.001    0.000 decorator.py:163(create)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:289(_add_types)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       10    0.000    0.000    0.000    0.000 getlimits.py:150(<lambda>)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
       88    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       72    0.000    0.000    0.000    0.000 {sys._getframe}
      144    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
       13    0.000    0.000    0.014    0.001 {map}
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        7    0.000    0.000    0.000    0.000 utils.py:113(deprecate)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
        2    0.000    0.000    0.000    0.000 function_base.py:1644(__init__)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
       30    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:346(_add_integer_aliases)
        7    0.000    0.000    0.002    0.000 decorator.py:186(decorator)
      282    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       30    0.000    0.000    0.000    0.000 numerictypes.py:451(_add_array_type)
        1    0.000    0.000    0.000    0.000 _spectral.py:3(<module>)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
       21    0.000    0.000    0.000    0.000 numerictypes.py:220(_evalname)
      363    0.000    0.000    0.000    0.000 {globals}
       52    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 numerictypes.py:788(_construct_lookups)
        1    0.000    0.000    0.000    0.000 newdict.py:17(<module>)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
